,SnO2/Pt sensor,,,,SnO2/Ag sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,G1-1,G1-2,G1-3,G1-4,G2-1,G2-2,G2-3,G2-4,Conc,Gas,Split,Split0,Split1,Split10,Split11,Split12,Split13,Split20,Split21,Split22,Split23,Split30,Split31,Split32,Split33,Split34,Split35,Split36,Split40,Split41,Split42,Split43
26,1.78,11.6,3.9,2.58,13.1,12.71,27.19,517.29,2.4,H2S,Ex,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
27,1.77,11.58,3.9,2.58,13.05,12.43,27.12,518.5,2.4,H2S,Ex,In,V,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
28,1.44,2.75,2.43,2.16,1.92,2.58,1.82,1.21,10,NH3,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex
29,1.44,2.81,2.33,2.16,1.94,2.6,1.82,1.17,10,NH3,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex
30,1.44,2.81,2.33,2.16,1.94,2.6,1.82,1.21,10,NH3,V,In,V,V,V,V,V,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex
31,1.99,4.44,4.3,4.19,2.19,2.9,2.06,1.14,30,NH3,In,Tr,In,In,In,In,In,V,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex
32,1.99,4.39,4.33,4.18,2.19,2.9,2.06,1.14,30,NH3,In,Tr,In,In,In,In,In,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex
33,1.94,4.38,4.33,4.18,2.19,2.9,2.06,1.19,30,NH3,In,In,In,In,In,In,In,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex
34,2.56,6.31,5.73,6.59,2.37,3.3,2.71,1.36,50,NH3,Tr,Tr,Tr,Tr,Tr,Tr,Tr,In,V,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Tr,Tr,Ex,Ex
35,2.56,6.19,5.93,6.59,2.44,3.2,2.71,1.35,50,NH3,Tr,Tr,Tr,Tr,Tr,Tr,Tr,In,Tr,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Tr,Tr,Ex,Ex
36,2.5,6.25,5.93,6.66,2.39,3.2,2.76,1.35,50,NH3,V,In,V,V,V,V,V,In,Tr,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Tr,Tr,Ex,Ex
37,3.06,7.31,6.5,8.19,2.69,3.4,2.47,1.41,70,NH3,In,Tr,In,In,In,Tr,In,V,In,V,Ex,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Tr,Tr,Tr,Ex
38,3,7.37,6.57,8.28,2.69,3.4,2.41,1.39,70,NH3,In,Tr,In,In,In,Tr,In,Tr,In,Tr,Ex,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Tr,Tr,Tr,Ex
39,3.06,7.29,6.73,8.28,2.69,3.3,2.47,1.44,70,NH3,In,In,In,In,In,V,In,Tr,In,Tr,Ex,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Tr,Tr,Tr,Ex
40,3.94,9,8.63,11.09,3.12,3.2,3.05,1.5,100,NH3,Tr,Tr,Tr,In,Tr,In,Tr,In,V,In,V,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr
41,3.94,9,8.57,11.28,3.12,3.3,3.06,1.5,100,NH3,Tr,Tr,Tr,In,Tr,In,Tr,In,Tr,In,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr
42,3.89,8.94,8.57,11.47,3.12,3.3,3.06,1.49,100,NH3,V,In,V,In,V,In,V,In,Tr,In,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr
43,5.44,11.19,10.27,15.79,3.75,3.2,3.12,1.55,150,NH3,In,Tr,In,Tr,In,Tr,Ex,In,In,V,In,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
44,5.39,11.12,10.25,15.78,3.75,3.2,3.12,1.57,150,NH3,In,Tr,In,Tr,In,Tr,Ex,In,In,Tr,In,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
45,5.39,11.25,10.33,15.89,3.77,3.2,3.12,1.59,150,NH3,In,In,In,V,In,V,Ex,In,In,Tr,In,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
46,6.89,12.37,11,17.59,4.12,3.4,3.35,1.64,200,NH3,Tr,Tr,Tr,In,Tr,Ex,Ex,V,V,V,V,Tr,Tr,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
47,6.89,12.37,10.87,17.75,4.19,3.3,3.35,1.59,200,NH3,Tr,Tr,Tr,In,Tr,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
48,6.89,12.31,10.83,17.69,4.19,3.3,3.35,1.64,200,NH3,V,In,V,In,V,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
49,8.76,13.62,11.88,21.94,4.56,3.12,3.41,1.65,250,NH3,Ex,Tr,In,Tr,Ex,Ex,Ex,In,In,In,In,Tr,Ex,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
50,8.71,13.75,11.9,22.06,4.56,3.12,3.41,1.69,250,NH3,Ex,Tr,In,Tr,Ex,Ex,Ex,In,In,In,In,Tr,Ex,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
51,8.76,13.56,11.97,21.94,4.56,3.02,3.45,1.73,250,NH3,Ex,In,In,V,Ex,Ex,Ex,In,In,In,In,Tr,Ex,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
